"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","hasJoinedAuction()","","Mon Nov 18 04:50:17 GMT 2024","passed","Mon Nov 18 04:50:17 GMT 2024","","com.swp391.koibe.services.auctionparticipant.AuctionParticipantServiceTest","com.swp391.koibe.services.auctionparticipant.AuctionParticipantServiceTest","hasJoinedAuction"
"","3","createAuctionKoiV2()","","Mon Nov 18 04:50:39 GMT 2024","passed","Mon Nov 18 04:50:39 GMT 2024","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","createAuctionKoiV2"
"","72","testUpdateRole_NotFound()","","Mon Nov 18 04:50:12 GMT 2024","passed","Mon Nov 18 04:50:12 GMT 2024","","com.swp391.koibe.controllers.RoleControllerTest","com.swp391.koibe.controllers.RoleControllerTest","testUpdateRole_NotFound"
"","3","createOrderForAuctionKoi()","","Mon Nov 18 04:50:31 GMT 2024","passed","Mon Nov 18 04:50:31 GMT 2024","","com.swp391.koibe.services.order.OrderServiceTest","com.swp391.koibe.services.order.OrderServiceTest","createOrderForAuctionKoi"
"","6","deleteStaff()","","Mon Nov 18 04:50:09 GMT 2024","passed","Mon Nov 18 04:50:09 GMT 2024","","com.swp391.koibe.controllers.StaffControllerTest","com.swp391.koibe.controllers.StaffControllerTest","deleteStaff"
"","3","blockOrEnable()","","Mon Nov 18 04:50:14 GMT 2024","passed","Mon Nov 18 04:50:14 GMT 2024","","com.swp391.koibe.controllers.UserControllerTest","com.swp391.koibe.controllers.UserControllerTest","blockOrEnable"
"","4","bannedUser()","","Mon Nov 18 04:50:31 GMT 2024","passed","Mon Nov 18 04:50:31 GMT 2024","","com.swp391.koibe.services.user.UserServiceTest","com.swp391.koibe.services.user.UserServiceTest","bannedUser"
"","5","getKoisByKeyword()","","Mon Nov 18 04:50:09 GMT 2024","passed","Mon Nov 18 04:50:09 GMT 2024","","com.swp391.koibe.controllers.KoiControllerTest","com.swp391.koibe.controllers.KoiControllerTest","getKoisByKeyword"
"","8","generateFakeKoiImages()","","Mon Nov 18 04:50:09 GMT 2024","passed","Mon Nov 18 04:50:09 GMT 2024","","com.swp391.koibe.controllers.KoiImageControllerTest","com.swp391.koibe.controllers.KoiImageControllerTest","generateFakeKoiImages"
"","48","testCreateRole_Success()","","Mon Nov 18 04:50:13 GMT 2024","passed","Mon Nov 18 04:50:13 GMT 2024","","com.swp391.koibe.controllers.RoleControllerTest","com.swp391.koibe.controllers.RoleControllerTest","testCreateRole_Success"
"","3","existsByName()","","Mon Nov 18 04:50:39 GMT 2024","passed","Mon Nov 18 04:50:39 GMT 2024","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","existsByName"
"","2","getAuctionKoiByAuctionId()","","Mon Nov 18 04:50:39 GMT 2024","passed","Mon Nov 18 04:50:39 GMT 2024","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","getAuctionKoiByAuctionId"
